NAME;AGE;SLEEPHOURS;IDNUMBER;GENDER;EFFECTIVENESS;CITY
Ramón Roque Díaz;57;1;531-37-7519;M;80;Glasgow
Ricardo Quezada Collazo;48;3;770-75-0145;F;50;Oxford
Isabel Arguello Chavarría;29;7;636-16-2817;F;0;London
Sra. Hernán Lomeli Avilés;31;5;265-14-9073;F;100;Glasgow
Lorena Torres Vaca;17;3;197-04-7270;M;0;Oxford
Alejandra Orosco Ojeda;26;3;247-45-0051;M;50;Liverpool
Rosalia Sosa Haro;76;10;358-91-8206;F;0;Oxford
Benito Mares Treviño;54;3;325-02-5741;M;80;London
Sra. Jorge Carbajal Arriaga;83;10;762-04-1944;M;0;Liverpool
Claudia Guevara Rico;75;3;779-45-4310;F;0;Liverpool
Micaela Colón Quintanilla;29;1;284-55-7471;M;80;London
Sta. Cristobal Rentería Huerta;1;8;518-64-6072;M;0;Bristol
Santiago Baca Regalado;82;6;390-50-3289;F;0;Bristol
César Arguello Abrego;76;5;147-14-4523;F;0;Bristol
Sra. Horacio Tirado Cruz;9;8;543-16-1714;M;50;Oxford
Lucas Soliz Delgado;75;4;295-30-6167;F;80;Liverpool
Sr. Reina Menéndez Casanova;16;4;359-05-9323;M;100;Bristol
Daniela Ortega Bravo;66;9;252-21-1002;F;0;Liverpool
César Rentería Vaca;38;8;447-83-0945;F;50;Bristol
Cristian Arreola Cano;90;3;519-50-3762;M;0;Liverpool
Claudio Vázquez Mayorga;6;1;731-73-9984;M;0;Oxford
Andrés Loya Crespo;29;5;835-77-1858;M;50;London
Lourdes Espinal Barragán;30;10;229-23-1623;F;80;Glasgow
Sra. Samuel Muro Vázquez;49;4;858-44-9401;M;50;Bristol
Rodrigo Cruz Ureña;59;2;734-05-8868;F;0;Liverpool
Dorotea Díaz Alba;25;8;799-54-8805;F;0;Oxford
Margarita Amaya Parra;36;10;275-55-4854;F;0;Glasgow
Manuel Carrasco Espinal;16;8;837-97-1577;M;0;Bristol
Dorotea Tejada Moreno;4;2;075-57-6799;M;100;Bristol
Rocio Palomo Echevarría;52;1;323-84-9572;F;0;Liverpool
Enrique Almanza Alemán;41;7;305-87-7122;M;50;London
